2022-05-26 19:31:03,773 | ffb_producer | INFO | User record b'DE000GK2BRS9' successfully produced to trade-events [0] at offset 67
2022-05-26 19:31:03,788 | ffb_producer | INFO | User record b'DE000DW014P9' successfully produced to trade-events [0] at offset 68
2022-05-26 19:31:03,805 | ffb_producer | INFO | User record b'DE000SD76V41' successfully produced to trade-events [0] at offset 69
2022-05-26 19:31:03,820 | ffb_producer | INFO | User record b'DE000DW2M803' successfully produced to trade-events [0] at offset 70
2022-05-26 19:31:03,836 | ffb_producer | INFO | User record b'DE000DW12NG8' successfully produced to trade-events [0] at offset 71
2022-05-26 19:31:03,852 | ffb_producer | INFO | User record b'DE000VX8D6T8' successfully produced to trade-events [0] at offset 72
2022-05-26 19:31:03,868 | ffb_producer | INFO | User record b'DE000SH47393' successfully produced to trade-events [0] at offset 73
2022-05-26 19:31:03,883 | ffb_producer | INFO | User record b'DE000GK3R4G7' successfully produced to trade-events [0] at offset 74
2022-05-26 19:31:03,898 | ffb_producer | INFO | User record b'DE000GX7VMN3' successfully produced to trade-events [0] at offset 75
2022-05-26 19:31:03,913 | ffb_producer | INFO | User record b'DE000UK0TPT9' successfully produced to trade-events [0] at offset 76
2022-05-26 19:31:03,929 | ffb_producer | INFO | User record b'DE000GX1YEC0' successfully produced to trade-events [0] at offset 77
2022-05-26 19:31:03,945 | ffb_producer | INFO | User record b'DE000PH72J32' successfully produced to trade-events [0] at offset 78
2022-05-26 19:31:03,960 | ffb_producer | INFO | User record b'DE000GK456N8' successfully produced to trade-events [0] at offset 79
2022-05-26 19:31:03,976 | ffb_producer | INFO | User record b'DE000VV1H3S4' successfully produced to trade-events [0] at offset 80
2022-05-26 19:31:03,992 | ffb_producer | INFO | User record b'DE000UK02WN5' successfully produced to trade-events [0] at offset 81
2022-05-26 19:31:04,007 | ffb_producer | INFO | User record b'DE000PD5PNK6' successfully produced to trade-events [0] at offset 82
2022-05-26 19:31:04,021 | ffb_producer | INFO | User record b'DE000UK2RCP5' successfully produced to trade-events [0] at offset 83
2022-05-26 19:31:04,036 | ffb_producer | INFO | User record b'DE000SH1EYW4' successfully produced to trade-events [0] at offset 84
2022-05-26 19:31:04,053 | ffb_producer | INFO | User record b'DE000VP5QAR4' successfully produced to trade-events [0] at offset 85
2022-05-26 19:31:04,069 | ffb_producer | INFO | User record b'DE000GK3ZX42' successfully produced to trade-events [0] at offset 86
2022-05-26 19:31:04,085 | ffb_producer | INFO | User record b'DE000PD53NA9' successfully produced to trade-events [0] at offset 87
2022-05-26 19:31:04,100 | ffb_producer | INFO | User record b'DE000UK0K119' successfully produced to trade-events [0] at offset 88
2022-05-26 19:31:04,116 | ffb_producer | INFO | User record b'DE000VQ2Z9M1' successfully produced to trade-events [0] at offset 89
2022-05-26 19:31:04,131 | ffb_producer | INFO | User record b'DE000HB3LWT4' successfully produced to trade-events [0] at offset 90
2022-05-26 19:31:04,147 | ffb_producer | INFO | User record b'DE000DW2WLE7' successfully produced to trade-events [0] at offset 91
2022-05-26 19:31:04,162 | ffb_producer | INFO | User record b'DE000PD5VY56' successfully produced to trade-events [0] at offset 92
2022-05-26 19:31:04,179 | ffb_producer | INFO | User record b'DE000VX1USF2' successfully produced to trade-events [0] at offset 93
2022-05-26 19:31:04,194 | ffb_producer | INFO | User record b'DE000DW2L1S7' successfully produced to trade-events [0] at offset 94
2022-05-26 19:31:04,209 | ffb_producer | INFO | User record b'DE000HG3B156' successfully produced to trade-events [0] at offset 95
2022-05-26 19:31:04,224 | ffb_producer | INFO | User record b'DE000DW13JQ3' successfully produced to trade-events [0] at offset 96
2022-05-26 19:31:04,240 | ffb_producer | INFO | User record b'DE000SN1A2X6' successfully produced to trade-events [0] at offset 97
2022-05-26 19:31:04,255 | ffb_producer | INFO | User record b'DE000VV16ZL7' successfully produced to trade-events [0] at offset 98
2022-05-26 19:31:04,271 | ffb_producer | INFO | User record b'DE000PF8UBD8' successfully produced to trade-events [0] at offset 99
2022-05-26 19:31:04,287 | ffb_producer | INFO | User record b'DE000HB66837' successfully produced to trade-events [0] at offset 100
2022-05-26 19:31:04,302 | ffb_producer | INFO | User record b'DE000GK3QXT1' successfully produced to trade-events [0] at offset 101
2022-05-26 19:31:04,316 | ffb_producer | INFO | User record b'DE000DV8NFJ5' successfully produced to trade-events [0] at offset 102
2022-05-26 19:31:04,333 | ffb_producer | INFO | User record b'DE000HB66837' successfully produced to trade-events [0] at offset 103
2022-05-26 19:31:04,349 | ffb_producer | INFO | User record b'DE000SH1EYW4' successfully produced to trade-events [0] at offset 104
2022-05-26 19:31:04,365 | ffb_producer | INFO | User record b'DE000HB66837' successfully produced to trade-events [0] at offset 105
2022-05-26 19:31:04,380 | ffb_producer | INFO | User record b'DE000KG3C9C2' successfully produced to trade-events [0] at offset 106
2022-05-26 19:31:04,395 | ffb_producer | INFO | User record b'DE000KB9GCK7' successfully produced to trade-events [0] at offset 107
2022-05-26 19:31:04,410 | ffb_producer | INFO | User record b'DE000VQ6KEW6' successfully produced to trade-events [0] at offset 108
2022-05-26 19:31:04,425 | ffb_producer | INFO | User record b'DE000PF4UR37' successfully produced to trade-events [0] at offset 109
2022-05-26 19:31:04,441 | ffb_producer | INFO | User record b'DE000PH72J57' successfully produced to trade-events [0] at offset 110
2022-05-26 19:31:04,456 | ffb_producer | INFO | User record b'DE000VV1H3S4' successfully produced to trade-events [0] at offset 111
2022-05-26 19:31:04,473 | ffb_producer | INFO | User record b'DE000DV3QA02' successfully produced to trade-events [0] at offset 112
2022-05-26 19:31:04,487 | ffb_producer | INFO | User record b'DE000KG3LBR2' successfully produced to trade-events [0] at offset 113
